timestamp,alert_type,severity,description,source_ip,dest_ip,details
2026-01-14T11:18:01.180408,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.018250226974487, 'beacon_count': 3, 'expected_interval': 5}"
2026-01-14T11:18:31.182862,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017796039581299, 'beacon_count': 7, 'expected_interval': 5}"
2026-01-14T11:18:36.200893,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017763535181682, 'beacon_count': 8, 'expected_interval': 5}"
2026-01-14T11:19:01.185498,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.98323917388916, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:19:06.203271,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.982603073120117, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:19:11.223635,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.018315553665161, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:19:36.207196,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.983682791392009, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:19:41.224787,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.983718474706014, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:19:46.242611,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017683664957683, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:19:51.260163,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017655611038208, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:19:56.277021,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017411390940349, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:20:01.307977,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.021788597106934, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:20:06.312928,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017588456471761, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:20:11.330265,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.01774787902832, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:20:16.260529,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.98418394724528, 'beacon_count': 11, 'expected_interval': 5}"
2026-01-14T11:20:21.266469,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.984513600667317, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:20:26.280210,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.983314911524455, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:20:31.298754,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.012741804122925, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:20:36.316377,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.016635894775391, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:20:41.333293,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017694393793742, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:20:46.350791,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017345428466797, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:20:51.266124,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.983249187469482, 'beacon_count': 11, 'expected_interval': 5}"
2026-01-14T11:21:16.367949,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.02032732963562, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:21:21.372367,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017981608708699, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:21:46.358154,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017334620157878, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:21:51.375941,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017844359079997, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:22:16.362350,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.983810742696126, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:22:21.380871,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.983839909235637, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:22:26.396867,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.01496164004008, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:22:51.399512,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.989221175511678, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:22:56.399518,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.983324845631917, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:23:21.487806,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017533381779988, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:23:26.405330,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.984202226003011, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:23:31.426980,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.985603888829549, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:23:56.509596,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.016607761383057, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:24:01.525781,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017144521077474, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:24:06.441426,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.983450094858806, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:24:11.458736,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.983046770095825, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:24:16.476965,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.983728011449178, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:24:21.494461,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017678340276082, 'beacon_count': 9, 'expected_interval': 5}"
2026-01-14T11:24:26.512160,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.0178078810373945, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:24:31.540278,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.021104256312053, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:24:36.547522,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017687241236369, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:24:41.462300,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.98337984085083, 'beacon_count': 11, 'expected_interval': 5}"
2026-01-14T11:24:46.480445,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.980055491129558, 'beacon_count': 11, 'expected_interval': 5}"
2026-01-14T11:24:51.498489,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.9836554527282715, 'beacon_count': 11, 'expected_interval': 5}"
2026-01-14T11:24:56.514555,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017418464024861, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:25:01.534680,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.0180784066518145, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:25:06.553844,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.018451929092407, 'beacon_count': 10, 'expected_interval': 5}"
2026-01-14T11:26:56.632649,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 4.984239339828491, 'beacon_count': 8, 'expected_interval': 5}"
2026-01-14T11:27:01.649519,C2 Beaconing,HIGH,Consistent beaconing pattern detected: ~5.0s intervals,192.168.31.66,255.255.255.255,"{'interval_seconds': 5.017806529998779, 'beacon_count': 8, 'expected_interval': 5}"
